"HPI_Org"|"Practice"|"ESUs"|"PHO"
"G0G023-H"|"Paihia Medical"|5100|"Mahitahi Hauora"
"G0A025-D"|"Papamoa Pine Medical Centre"|7300|"Western Bay of Plenty"
"G0J952-F"|"Toi Ora Health"|1800|"Eastern Bay Primary Health Alliance"
"G08595-C"|"Health-I Care"|5200|"ProCare"
"G0C861-F"|"Family Doctors"|9975|"Western Bay of Plenty"
"G0F298-J"|"Mahora Medical"|2100|"Health Hawkes Bay"
"G04476-H"|"Torbay Medical Centre"|12600|"Comprehensive Care"
"G0E369-A"|"Kensington Health"|7288|"Mahitahi Hauora"
"G0F742-B"|"Hillside Medical Centre"|1650|"ProCare"
"G05544-D"|"Lynfield Medical Clinic"|3920|"ProCare"
"G0K943-K"|"New Windsor Medical Centre"|1275|"ProCare"
"G0B846-E"|"Blockhouse Bay Medical Centre"|4532|"ProCare"
"G05557-B"|"Upper Harbour Medical Centre"|3316|"ProCare"
"G04501-C"|"Bream Bay Medical Centre"|9281|"Mahitahi Hauora"
"G0G185-A"|"Clendon Medical Centre"|8000|"ProCare"
"G08333-F"|"Counties Medical"|6000|"ProCare"
"G04937-G"|"Hunters Corner Medical Centre"|3550|"ProCare"
"G0L119-H"|"Takapuna Health"|7843|"Comprehensive Care"
"G0C577-J"|"Beachhaven Birkdale Medical"|3040|"ProCare"
"G04459-H"|"Conifer Gardens Medical Centre"|5950|"ProCare"
"G0E373-C"|"Devonport Health Centre"|5190|"ProCare"
"G0F196-A"|"Onerahi Family Healthcare"|5809|"ProCare"
"G0H298-H"|"Family Medicine Birkenhead"|3400|"ProCare"
"G0C089-G"|"Gavin Lobo Health"|2200|"ProCare"
"G0M438-G"|"Three Kings Family Medical Centre"|3377|"Auckland PHO"
"G04568-B"|"Kowhai Surgery"|4950|"Comprehensive Care"
"NEW"|"New practice"|0|"N/A"
"G04142-A"|"The Doctors Middlemore"|12600|"National Hauora Coalition"
"G02335-B"|"The Doctors St Heliers"|8700|"National Hauora Coalition"
"G0B977-J"|"Torbay Community Doctor"|1000|"Comprehensive Care"
"NEW"|"ClinicFX"|0|"Tū Ora Compass Health"
"G05680-A"|"Totara Health "|16802|"Health Hawkes Bay"
"G04771-K"|"Queen Street Surgery Levin"|5600|"THINK Hauora"
"G0C973-F"|"Hutt City Health"|7350|"Tū Ora Compass Health"
"G04604-B"|"Plimmer Steps Surgery"|3100|"Tū Ora Compass Health"
"G0J600-H"|"Wicksteed Medical Centre"|8000|"Whanganui Regional Health Network"
"G0C623-A"|"Taradale Medical Centre"|10498|"Health Hawkes Bay"
"G07834-A"|"Churton Park Medical Care"|7500|"Tū Ora Compass Health"
"G04593-A"|"Onslow Medical Centre"|10264|"Tū Ora Compass Health"
"G04526-H"|"Tararua Health Group"|14310|"THINK Hauora"
"G0K598-H"|"Carterton Medical Centre"|7191|"Tū Ora Compass Health"
"G0D740-K"|"Central Medical Napier"|4217|"Health Hawkes Bay"
"G0K801-A"|"Taitoko Health"|4900|"THINK Hauora"
"G0F747-A"|"Stortford Accident and Medical"|2049|"Health Hawkes Bay"
"G06774-D"|"Kelburn GPs"|2027|"Tū Ora Compass Health"
"G0E375-G"|"Tamatea Medical Centre"|6358|"Hauraki PHO"
"G02485-K"|"Tuki Tuki Medical Limited"|7620|"Health Hawkes Bay"
"G08834-F"|"Wadestown Medical Practice"|4000|"Tū Ora Compass Health"
"G05485-C"|"Te Mata Peak Practice"|10600|"Health Hawkes Bay"
"G05632-A"|"City Medical Gisborne Limited"|6579|"Pinnacle Midlands Health Network"
"G03482-J"|"Eltham Health Centre"|2150|"Pinnacle Midlands Health Network"
"G04380-F"|"Mahoe Med"|14300|"Pinnacle Midlands Health Network"
"G0H528-K"|"Victoria Clinic"|6699|"Pinnacle Midlands Health Network"
"G0K738-J"|"Ohope Beach Medical Centre"|2270|"Eastern Bay Primary Health Alliance"
"G0B377-G"|"Glenview Medical Centre"|11186|"Pinnacle Midlands Health Network"
"G03975-K"|"Devon Medical Centre"|10450|"Pinnacle Midlands Health Network"
"G0K213-F"|"Coastal Medical"|19000|"Pinnacle Midlands Health Network"
"G04859-B"|"Katikati Medical Centre"|9700|"Western Bay of Plenty"
"G0M187-H"|"Cambridge Family Health"|9600|"Pinnacle Midlands Health Network"
"G0E182-G"|"Leamington Medical Centre"|6838|"National Hauora Coalition"
"G05647-C"|"Little London Medical"|3200|"Pinnacle Midlands Health Network"
"G05642-D"|"Flagstaff Medical Centre"|5250|"Pinnacle Midlands Health Network"
"G0H703-B"|"Ruatahi Medical Centre"|4684|"Rotorua Area Primary Health Services"
"G09475-J"|"Strandon Health"|2918|"Pinnacle Midlands Health Network"
"G0F155-J"|"Tara Road Medical Centre"|5200|"Western Bay of Plenty"
"G03965-G"|"Three Rivers Medical Centre"|20450|"Pinnacle Midlands Health Network"
"G04920-A"|"Tui Medical Limited"|60000|"Hauraki PHO"
"G0F778-A"|"Doctors @ 42"|4264|"National Hauora Coalition"
"G04093-C"|"Ngāruawāhia Medical"|6207|"National Hauora Coalition"
"G0N440-K"|"MediCross Urgent Care and GP Clinic"|2998|"Pinnacle Midlands Health Network"
"G05278-J"|"Dr K Pillay Limited"|1350|"Pinnacle Midlands Health Network"
"G04713-G"|"South City Health"|7500|"Pinnacle Midlands Health Network"
"G04504-J"|"Cambridge Medical Centre"|10000|"National Hauora Coalition"
"G04742-C"|"Nelson East Medical Centre"|3400|"Nelson Bays Primary Health"
"G04490-B(b)"|"Albany St Medical (Dr Horner)"|2200|"Well South Primary Health Network"
"G04846-D"|"Tuapeka Community Health"|1163|"Well South Primary Health Network"
"G0J961-G"|"Arena Healthcare"|4200|"Well South Primary Health Network"
"G0A882-D"|"Oamaru Doctors"|3833|"Well South Primary Health Network"
"G0P218-C"|"Mansfield Health Practice"|2000|"Pegasus Health"
"G04490-B(a)"|"Albany St Medical (Dr Buchanan)"|1680|"Well South Primary Health Network"
"G0K287-B"|"Juno Health"|3090|"Pegasus Health"
"NEW"|"Vita Medical"|0|"New Practice"
"G0C363-A"|"Altimus Health"|1762|"Well South Primary Health Network"
"G0F100-F"|"HealthCentral"|9600|"Well South Primary Health Network"
"G0K035-H"|"Willow Medical Centre"|4930|"Well South Primary Health Network"
"G00546-E"|"Merivale Medical Practice"|8000|"Christchurch PHO"
"G0B158-F"|"WeCare Health"|26000|"Pegasus Health"
"G05634-E"|"East Otago Health"|2300|"Well South Primary Health Network"
"G04112-C"|"Three Rivers Health"|10550|"Waitaha Primary Health"
"G04280-B"|"Cromwell Medical Centre"|4500|"Well South Primary Health Network"
"G0B885-D"|"Omaka Medical Centre"|6000|"Marlborough Primary Health/Kimi Hauora Wairau"
"G0J380-J"|"Gardens Medical & Sports Medicine Centre"|4850|"Well South Primary Health Network"
"G04156-A"|"Invercargill Medical Centre"|12600|"Well South Primary Health Network"
"G0E691-F"|"Meridian Medical Centre"|6300|"Well South Primary Health Network"
"G00553-B"|"Milton Medical Centre"|7100|"Well South Primary Health Network"
"G0L071-F"|"Nelson City Medical"|5200|"Nelson Bays Primary Health"
"G03974-H"|"Picton Medical Centre"|5350|"Marlborough Primary Health/Kimi Hauora Wairau"
"G04092-A"|"Rangiora Family Health"|7000|"Waitaha Primary Health"
"G0D885-C"|"Redwoodtown Medical Centre"|7700|"Marlborough Primary Health/Kimi Hauora Wairau"
"G0K170-C"|"South City Medical"|2900|"Well South Primary Health Network"
"G04689-C"|"South Hill Medical"|1800|"Well South Primary Health Network"
"G03212-B"|"Saddle View Health Centre"|4417|"Well South Primary Health Network"
"G05520-A"|"Barrington Medical Centre"|12950|"Pegasus Health"
"G05761-A"|"Riverton Medical Centre"|1549|"Well South Primary Health Network"
"G04886-E"|"Stoke & Waimea Medical"|12799|"Nelson Bays Primary Health"
"G0B280-C"|"Dee Street Primary Care"|6824|"Waitaha Primary Health"
"G0G550-J"|"Four Peaks Health Centre"|3342|"Waitaha Primary Health"
"G0K400-E"|"Blue Penguin Medical Centre"|1700|"Waitaha Primary Health"
"G08082-G"|"Nelson Family Medicine"|7500|"Nelson Bays Primary Health"
"G03447-G"|"Alexandra Family Medical Centre"|1830|"Well South Primary Health Network"
"G0B524-E"|"North Avon Medical Centre"|5015|"Pegasus Health"
"G04535-J"|"Lumsden Medical Centre"|2483|"Well South Primary Health Network"
"G08797-D"|"Tima Health"|2700|"Nelson Bays Primary Health"
"G05514-F"|"Harley Street Medical"|5025|"Nelson Bays Primary Health"
"G0M771-F"|"Bishopdale Medical"|2960|"Pegasus Health"
"G05570-E"|"Gore Medical Centre"|8200|"Well South Primary Health Network"